date,ticker,open,high,low,close,vwap,volume,turnover,status
20220224,000688.SH,1226.9481,1240.3537,1199.0721,1214.9889,1214.9889,11331530.0,51365988.764,000688.SH
20220223,000688.SH,1182.4218,1233.4417,1181.4023,1231.077,1231.077,9068585.0,45910558.536,000688.SH
20220222,000688.SH,1184.835,1186.7833,1168.5652,1183.9818,1183.9818,7696765.0,34764818.367,000688.SH
20220221,000688.SH,1207.1474,1212.4942,1191.8391,1193.6012,1193.6012,7576727.0,32960332.337,000688.SH
20220218,000688.SH,1200.3428,1206.0129,1195.2398,1204.3705,1204.3705,6396948.0,29866344.015,000688.SH
20220217,000688.SH,1196.5983,1217.4702,1191.4463,1207.8211,1207.8211,7402910.0,34088935.467,000688.SH
20220216,000688.SH,1210.4158,1211.5529,1195.9717,1197.5615,1197.5615,7084265.0,32165254.606,000688.SH
20220215,000688.SH,1172.7707,1204.34,1171.6756,1203.1243,1203.1243,7440951.0,34578447.29,000688.SH
20220214,000688.SH,1161.8449,1179.8879,1148.7033,1169.4421,1169.4421,6205633.0,29024141.822,000688.SH
20220211,000688.SH,1182.8686,1188.5179,1168.9044,1169.5896,1169.5896,8975096.0,37864107.548,000688.SH
20220210,000688.SH,1214.9815,1215.2781,1182.3976,1188.1974,1188.1974,9020558.0,40602727.373,000688.SH
20220209,000688.SH,1204.241,1212.4495,1195.0854,1210.2863,1210.2863,8613441.0,36392738.612,000688.SH
20220208,000688.SH,1233.6572,1233.6572,1191.4926,1204.0542,1204.0542,8219262.0,34921999.307,000688.SH
20220207,000688.SH,1247.5846,1263.9658,1230.7044,1233.6183,1233.6183,8199670.0,33876596.597,000688.SH
20220128,000688.SH,1253.942,1255.1908,1229.2236,1229.2236,1229.2236,9061238.0,37089018.612,000688.SH
20220127,000688.SH,1274.6265,1280.2453,1239.4889,1240.5543,1240.5543,11187482.0,41994952.495,000688.SH
20220126,000688.SH,1281.5104,1289.4081,1261.9509,1276.3622,1276.3622,15139954.0,43889405.966,000688.SH
20220125,000688.SH,1303.93,1311.7283,1276.196,1277.0039,1277.0039,8234706.0,42025406.994,000688.SH
20220124,000688.SH,1286.1386,1311.5068,1285.0377,1307.7417,1307.7417,7030921.0,41625125.269,000688.SH
20220121,000688.SH,1304.1581,1308.4372,1288.7805,1290.4057,1290.4057,8648363.0,45936325.969,000688.SH
20220120,000688.SH,1326.6377,1329.8129,1304.6922,1306.023,1306.023,9122820.0,49500717.264,000688.SH
20220119,000688.SH,1340.7132,1343.3027,1318.3106,1324.0889,1324.0889,8753067.0,48702658.329,000688.SH
20220118,000688.SH,1340.414,1362.4779,1328.4021,1342.356,1342.356,11182558.0,62509376.314,000688.SH
20220117,000688.SH,1317.385,1341.1732,1313.6157,1338.3172,1338.3172,10462288.0,67043438.4,000688.SH
20220114,000688.SH,1289.3818,1316.3277,1288.8503,1312.2923,1312.2923,9975888.0,60827015.852,000688.SH
20220113,000688.SH,1319.1868,1319.1868,1294.6527,1294.6527,1294.6527,8251106.0,51538527.249,000688.SH
20220112,000688.SH,1298.6229,1317.523,1298.6229,1316.3531,1316.3531,8890363.0,54801854.442,000688.SH
20220111,000688.SH,1317.9239,1317.9274,1291.5074,1294.4038,1294.4038,8035785.0,48705084.901,000688.SH
20220110,000688.SH,1306.5973,1323.1549,1291.4089,1318.2665,1318.2665,8517367.0,49356827.246,000688.SH
20220107,000688.SH,1322.8916,1331.9148,1305.1409,1305.4918,1305.4918,9117416.0,48006858.049,000688.SH
